source,threshold,log_file,EA_RS,EA_RS_self,RS_full,MLRS,RS_max,RS_at_10pct,RS_max_after_1pct,RS_max_after_5pct,RS_max_after_10pct,n_gst_rows,n_gst_genes
ontology,0.8,rs_run_ontology_0p80.log,0.8031,0.486,1.3172,0.5692,3.3841,2.3227,3.3841,2.697,2.3227,67004,2176
semantic,0.3,rs_run_semantic_0p30.log,0.6633,-1.016,2.6796,0.4881,3.5588,2.0099,3.4174,2.9008,2.9008,892831,2468
semantic,0.4,rs_run_semantic_0p40.log,0.628,0.5267,1.1013,0.4617,3.5588,2.0381,3.4457,2.6422,2.0573,260429,2404
semantic,0.5,rs_run_semantic_0p50.log,0.5217,0.4803,1.0414,0.3897,3.4672,1.9309,3.3041,2.5149,1.9584,92057,2241
semantic,0.55,rs_run_semantic_0p55.log,0.5607,0.4575,1.1032,0.4163,3.4978,2.0004,3.3181,2.6164,2.0327,62244,2128
semantic,0.6,rs_run_semantic_0p60.log,0.6213,0.4128,1.2085,0.4611,3.2701,2.0211,3.2247,2.6105,2.0629,43167,2040
semantic,0.65,rs_run_semantic_0p65.log,0.6466,0.3924,1.2543,0.4773,3.4201,2.0028,3.3025,2.6098,2.0466,31337,1931
semantic,0.7,rs_run_semantic_0p70.log,0.6564,0.3645,1.292,0.4861,3.2808,2.0026,3.2618,2.5955,2.0579,22488,1854
semantic,0.75,rs_run_semantic_0p75.log,0.5801,0.3646,1.2155,0.4373,3.2044,1.9154,3.2044,2.5168,1.9841,14594,1723
semantic,0.8,rs_run_semantic_0p80.log,0.5898,0.2873,1.3025,0.4472,3.135,1.8775,3.135,2.3917,1.9606,10421,1573
semantic,0.85,rs_run_semantic_0p85.log,0.5427,0.2855,1.2573,0.416,3.0422,1.8516,3.0422,2.3359,1.9476,7482,1444
